word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS
h)/n,ἐάν,conjunction,de\,δέ,particle,kai\,καί,conjunction,ei(/neken,ἕνεκα,preposition,o(mi/lou,ὅμιλος,noun,qe/lh|s,ἐθέλω,verb,a)kro/asin,ἀκρόασις,noun,poih/sasqai,ποιέω,verb,ou)k,οὐ,adverb,a)gaklew=s,ἀγακλεής,adjective,e)piqumei=s,ἐπιθυμέω,verb,mh\,μή,conjunction,me/ntoi,μέντοι,particle,ge,γε,particle,meta\,μετά,preposition,marturi/hs,μαρτυρία,noun,poihtikh=s,ποιητικός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)dunami/hn,ἀδυναμία,noun,ga\r,γάρ,particle,e)mfai/nei,ἐμφαίνω,verb,filoponi/hs,φιλοπονία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)parne/omai,ἀπαρνέομαι,verb,ga\r,γάρ,particle,e)s,εἰς,preposition,xrh=sin,χρῆσις,noun,e(te/rhn,ἕτερος,adjective,filoponi/hn,φιλοπονία,noun,meta\,μετά,preposition,po/nou,πόνος,noun,i(storieume/nhn,,,dio\,διό,conjunction,e)n,ἐν,preposition,e(wuth=|,ἑαυτοῦ,pronoun,mou/nh|,μόνος,adjective,ai(/resin,αἵρεσις,noun,e)/xousan,ἔχω,verb,xari/essan,χαρίεις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peripoih/sei,περιποίησις,noun,ga\r,γάρ,particle,khfh=nos,κηφήν,noun,meta\,μετά,preposition,parapomph=s,παραπομπή,noun,mataiokopi/hn,ματαιοκοπία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*eu)kte/h,εὐκτέον,adjective,de\,δέ,particle,kai\,καί,conjunction,dia/qesis,διάθεσις,noun,e)kto\s,ἐκτός,adverb,e)ou=sa,εἰμί,verb,o)yimaqi/hs,ὀψιμαθία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pareo/ntwn,πάρειμι,verb,me\n,μέν,particle,ou)de\n,οὐδείς,pronoun,e)pitelei=,ἐπιτελής,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)peo/ntwn,ἄπειμι,verb,de\,δέ,particle,mnh/mh,μνήμη,noun,a)nekth/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gi/netai,γίγνομαι,verb,toi/nun,τοίνυν,particle,pa/mmaxos,πάμμαχος,adjective,a)tuxi/h,ἀτυχία,noun,meta\,μετά,preposition,lu/mhs,λύμη,noun,nearh=s,νεαρός,adjective,a)frontisteu=sa,ἀφροντιστέω,verb,eu)prepi/hs,,,o(rismoi=s,ὁρισμός,noun,te,τε,particle,kai\,καί,conjunction,e)paggeli/h|sin,ἐπαγγελία,noun,o(/rkois,ὅρκος,noun,te,τε,particle,pammege/qesin,παμμεγέθης,adjective,qew=n,θέα,noun,ei(/neken,ἕνεκα,preposition,i)htrou=,ἰατρός,noun,prostate/ontos,προστατέω,verb,nou/sou,νόσος,noun,a)nagnw/sios,ἀνάγνωσις,noun,sunexei/hs,,,kathxh/sio/s,κατήχησις,noun,te,τε,particle,i)diwte/wn,ἰδιώτης,noun,filaluste/wn,φιλαλυστής,noun,lo/gous,λόγος,noun,e)k,ἐκ,preposition,metaforh=s,μεταφορά,noun,diazhleuome/nwn,,,kai\,καί,conjunction,pri\n,πρίν,adverb,h)\,ἠέ,conjunction,nou/sw|,νόσος,noun,katapore/wsin,καταπορέω,verb,h)qroisme/nwn,ἀθροίζω,verb,,,,,,,,,,,,,,,,
tw=n,ὁ,article,me\n,μέν,particle,ou)=n,οὖν,particle,taiou/twn,,,o(/poi,ὅποι,adverb,a)\n,ἄν,particle,kai\,καί,conjunction,e)pistath/saimi,ἐπιστατέω,verb,ou)k,οὐ,adverb,a)\n,ἄν,particle,e)pi\,ἐπί,preposition,qerapei/hs,θεραπεία,noun,sullo/gou,σύλλογος,noun,ai)th/saimi,αἰτέω,verb,a)\n,ἄν,particle,qarsale/ws,θαρσαλέος,adjective,bohqei/hn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i(stori/hs,ἱστορία,noun,ga\r,γάρ,particle,eu)sxh/monos,εὐσχήμων,adjective,su/nesis,σύνεσις,noun,e)n,ἐν,preposition,tou/tois,οὗτος,pronoun,diespasme/nh,διασπάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou/twn,οὗτος,pronoun,ou)=n,οὖν,particle,di',διά,preposition,a)na/gkhn,ἀνάγκη,noun,a)sune/twn,ἀσύνετος,adjective,e)o/ntwn,εἰμί,verb,parakeleu/omai,παρακελεύομαι,verb,xrhsi/mhn,χρήσιμος,adjective,ei)=nai,εἰμί,verb,th\n,ὁ,article,tri/bhn,,,mequste/rhsin,,,dogma/twn,δόγμα,noun,i(stori/hs,ἱστορία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/s,τίς,pronoun,ga\r,γάρ,particle,e)piqumei=,ἐπιθυμέω,verb,dogma/twn,δόγμα,noun,me\n,μέν,particle,polusxidi/hn,πολυσχιδία,noun,a)treke/ws,ἀτρεκής,adjective,e)qe/lwn,ἐθέλω,verb,i(storei=n,ἱστορέω,verb,meta\,μετά,preposition,de\,δέ,particle,xeirotribi/hs,χειροτριβία,noun,a)tremeo/thta,,,dio\,διό,conjunction,paraine/w,παραινέω,verb,tou/tois,οὗτος,pronoun,le/gousi,λέγω,verb,me\n,μέν,particle,prose/xein,προσέχω,verb,poie/ousi,ποιέω,verb,de\,δέ,particle,e)gko/ptein,ἐγκόπτω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*sunestalme/nhs,συστέλλω,verb,diai/ths,δίαιτα,noun,mh\,μή,conjunction,makrh\n,μακρός,adjective,e)gxeirei=n,ἐγχειρέω,verb,tou=,ὁ,article,ka/mnontos,κάμνω,verb,xroni/hn,χρόνιος,adjective,e)piqumi/hn,ἐπιθυμία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ni/sthsi,ἀνίστημι,verb,kai\,καί,conjunction,sugxwri/h,,,e)n,ἐν,preposition,xroni/h|,χρόνιος,adjective,nou/sw|,νόσος,noun,h)/n,ἐάν,conjunction,tis,τις,pronoun,prose/xh|,προσέχω,verb,tuflw=|,τυφλός,adjective,to\,ὁ,article,de/on,δέον,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(s,ὡς,conjunction,me/gas,μέγας,adverb,fo/bos,φόβος,noun,fulakte/os,φυλακτέος,adjective,kai\,καί,conjunction,xara=s,χαρά,noun,deino/ths,δεινότης,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)e/ros,ἀήρ,adjective,ai)fnidi/h,ἀφνίδιος,adjective,taraxh\,ταραχή,noun,fulakte/h,φυλακτέος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)kmh\,ἀκμή,noun,h(liki/hs,ἡλικία,noun,pa/nta,πᾶς,adjective,e)/xei,ἔχω,verb,xari/enta,χαρίεις,adjective,a)po/lhcis,ἀπόληξις,noun,de\,δέ,particle,tou)nanti/on,ἐναντίος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)safi/h,,,de\,δέ,particle,glw/sshs,γλῶσσα,noun,gi/netai,γίγνομαι,verb,h)\,ἠέ,conjunction,dia\,διά,preposition,pa/qos,πάθος,adjective,h)\,ἠέ,conjunction,dia\,διά,preposition,ta\,ὁ,article,w)=ta,οὖς,noun,h)\,ἠέ,conjunction,pri\n,πρίν,adverb,ta\,ὁ,article,pro/tera,πρότερος,adjective,e)caggei=lai,ἐξαγγέλλω,verb,e(/tera,ἕτερος,adjective,e)pilalei=n,ἐπιλαλέω,verb,h)\,ἠέ,conjunction,pri\n,πρίν,adverb,to\,ὁ,article,dianenohme/non,διανοέομαι,verb,ei)pei=n,εἶπον,verb,e(/tera,ἕτερος,adjective,e)pidianoei=sqai,ἐπιδιανοέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=to,οὗτος,pronoun,me\n,μέν,particle,ou)=n,οὖν,particle,a)/neu,ἄνευ,preposition,pa/qous,πάθος,adjective,o(ratou=,ὁρατής,noun,lelegme/nou,λέγω,verb,ma/lista,μάλιστα,adverb,sumbai/nei,συμβαίνω,verb,filotexnou=sin,φιλοτεχνέω,verb,h(liki/hs,ἡλικία,noun,smikrou=,μικρός,adjective,e)o/ntos,εἰμί,verb,tou=,ὁ,article,u(pokeime/nou,ὑπόκειμαι,verb,du/namis,δύναμις,adjective,e)ni/ote,ἐνίοτε,adverb,pampollh/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nou/sou,νόσος,noun,a)taci/h,ἀταξία,noun,mh=kos,μῆκος,adjective,shmai/nei,σημαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kri/sis,κρίσις,adjective,de\,δέ,particle,a)po/lusis,ἀπόλυσις,noun,nou/sou,νόσος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smikrh\,μικρός,adjective,ai)ti/h,αἰτία,noun,a)/kesis,ἄκεσις,noun,gi/netai,γίγνομαι,verb,h)\n,ἐάν,conjunction,mh/,μή,conjunction,ti,τις,pronoun,peri\,περί,preposition,to/pon,τόπος,noun,kai/rion,καίριος,adjective,pa/qh|,πάσχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dio/ti,διότι,conjunction,sumpa/qhsis,,,u(po\,ὑπό,preposition,lu/phs,λύπη,noun,e)ou=sa,εἰμί,verb,o)xlei=,ὀχλεύς,noun,e)c,ἐκ,preposition,e(te/rou,ἕτερος,adjective,sumpaqei/hs,συμπάθεια,adjective,tine\s,τις,pronoun,o)xleu=ntai,ὀχλέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
katau/dhsis,καταύδησις,noun,lupei=,λυπέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
filoponi/hs,φιλοπονία,noun,kra,,,taih=s,,,u(poparai/thsis,ὑποπαραίτησις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)luw/dhs,,,to/pos,τόπος,noun,o)nhsifo/ros,ὀνησιφόρος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
