word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/4/lemma/@_entry,word/4/lemma/@_POS,word/11/lemma/@_entry,word/11/lemma/@_POS,word/19/lemma/@_entry,word/19/lemma/@_POS,word/23/@_form,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/23/lemma/@_entry,word/23/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/35/lemma/@_entry,word/35/lemma/@_POS,word/41/lemma/@_entry,word/41/lemma/@_POS
h)\n,ἐάν,conjunction,de\,δέ,particle,mei=zon,μέγας,adverb,e)kpe/sh|,ἐκπίτνω,verb,kai\,mh\,μή,conjunction,me/nh|,μένω,verb,e)/ndon,ἔνδον,adverb,diazw/sas,διαζάω,verb,e)n,ἐν,preposition,th=|si,ὁ,article,lago/si,kai\,καί,conjunction,u(fei\s,ὑφίημι,verb,o)/pisqen,ὄπισθεν,adverb,e)k,ἐκ,preposition,tou=,ὁ,article,diazw/matos,διάζωμα,noun,taini/hn,ταινία,noun,w)/sas,e)/sw,ἔσω,adjective,to\n,ὁ,article,a)rxo\n,ἀρχός,noun,καί,conjunction,λαγών,noun,ὠθέω,verb,prosqei=nai,spo/ggon,σπόγγος,noun,malqako\n,μαλθακός,adjective,bre/cas,βρέχω,verb,u(/dati,ὕδωρ,noun,qermw=|,θερμός,adjective,e)neyh/sas,ἐνέψω,verb,προστίθημι,verb,lwtou=,λωτός,adjective,pri/smata,πρίσμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kataxe/ai,καταχέω,verb,de\,δέ,particle,kai\,καί,conjunction,kata\,κατά,preposition,tou=,a)rxou=,ἀρχός,noun,a)p',ἀπό,preposition,au)tou=,αὐτός,pronoun,tou=,ὁ,article,u(/datos,ὕδωρ,noun,to\n,ὁ,article,de\,spo/ggon,σπόγγος,noun,e)kpie/sai,ἐκπιέζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/peita,ἔπειτα,adverb,u(potei/nas,ὑποτείνω,verb,th\n,ὁ,article,taini/hn,ταινία,noun,dia\,me/swn,μέσος,adjective,tw=n,ὁ,article,skele/wn,σκέλος,noun,a)nadh=sai,ἀναδέω,verb,peri\,περί,preposition,to\n,ὁ,article,o)mfalo/n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,διά,preposition,ὀμφαλός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/tan,ὅταν,conjunction,de\,δέ,particle,qe/lh,,,a)fodeu/ein,ἀφοδεύω,verb,e)pi\,lasa/noisin,λάσανα,adjective,w(s,ὡς,conjunction,stenota/toisin,στενός,adjective,a)fodeue/tw,ἀφοδεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐπί,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,de\,δέ,particle,paidi/on,παιδίον,noun,h)=|,εἰμί,verb,e)pi\,gunaiko\s,γυνή,noun,tw=n,ὁ,article,podw=n,πούς,noun,pro\s,πρός,preposition,ta\,ὁ,article,gou/nata,γόνυ,noun,proskliqei/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐπί,preposition,προσκλίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/tan,ὅταν,conjunction,de\,δέ,particle,a)fodeu/h|,ἀφοδεύω,verb,ta\,ὁ,article,ske/lea,e)kteina/tw,ἐκτείνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,σκέλος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(/tw,οὕτως,adverb,ga\r,γάρ,particle,a)\n,ἄν,particle,h(/kista,ἥκιστος,adjective,e)kpi/ptoi,h(,ὁ,article,e(/drh,ἕδρα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐκπίτνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,de\,δέ,particle,u(grai/nhtai,ὑγραίνω,verb,o(,ὁ,article,a)rxo\s,kai\,καί,conjunction,i)xw\r,ἰχώρ,adjective,a)por)*re/h|,,,perini/yai,περινίζω,verb,trugi\,τρύξ,noun,kekaume/nh|,καίω,verb,kai\,u(/dati,ὕδωρ,noun,a)po\,ἀπό,preposition,mursi/nhs,μυρσίνη,noun,kai\,καί,conjunction,a)di/anton,ἀδίαντον,noun,chrh/nas,ξηραίνω,verb,kai\,καί,conjunction,ko/yas,diash/sas,διασάω,verb,kata/passe,καταπάσσω,verb,*)\hn,ἐάν,conjunction,ἀρχός,noun,καί,conjunction,κόπτω,verb,de\,ai(mor)*roh=|,,,perini/yas,περινίζω,verb,toi=sin,τίς,pronoun,au)toi=si,αὐτός,pronoun,xalki=tin,,,kai\,καί,conjunction,δέ,particle,pri/sma,πρίσμα,noun,kupari/ssou,κυπάρισσος,noun,h)\,ἠέ,conjunction,ke/drou\,κέδρον,noun,h)\,ἠέ,conjunction,pi/tuos,h)\,ἠέ,conjunction,termi/nqou,τέρμινθος,noun,tri/yas,τρίβω,verb,summi/cas,συμμίγνυμι,verb,th=|,ὁ,article,xalki/tidi,i)/son,ἴσος,adjective,katapla/ssein,καταπλάσσω,verb,ta\,ὁ,article,e)/caiqen,,,de\,δέ,particle,khrwth=|,κηρωτή,noun,paxei/h|,παχύς,adjective,perialei/fein,περιαλείφω,verb,πίτυς,adjective,,
*(okotan,,,a)rxo\s,ἀρχός,noun,e)kpi/pth|,ἐκπίτνω,verb,kai\,καί,conjunction,mh\,qe/lh|,ἐθέλω,verb,kata\,κατά,preposition,xw/rhn,χώρα,noun,me/nein,μένω,verb,si/lfion,σίλφιον,noun,o(/ti,ὅστις,pronoun,a)/riston,kai\,καί,conjunction,pokno/taton,,,cu/sac,,,lepto\n,λεπτός,adjective,katapla/ssein,καταπλάσσω,verb,,,,,,,,,,,,,,,,,μή,conjunction,ἄριστος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,tou=,ὁ,article,ptarmikou=,πταρμικός,adjective,farma/kou,φαρμακόω,verb,pro\s,th\n,ὁ,article,*ri=na,,,prostiqe/nai,προστίθημι,verb,kai\,καί,conjunction,parocu/nein,παροξύνω,verb,to\n,ὁ,article,a)/nqrwpon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,πρός,preposition,ἄνθρωπος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\,ἠέ,conjunction,u(/dati,ὕδωρ,noun,qermw=|,θερμός,adjective,periplu/nas,περιπλύνω,verb,si/dia,kai\,καί,conjunction,stupthri/hn,στυπτηρία,noun,tri/yas,τρίβω,verb,e)n,ἐν,preposition,oi)/nw|,οἶνον,noun,leukw=|,λευκός,adjective,kataxe/ai,tou=,ὁ,article,a)rxou=,ἀρχός,noun,e)/peita,ἔπειτα,adverb,*ra/kea,,,e)mbalei=n,ἐμβάλλω,verb,kai\,καί,conjunction,tou\s,ὁ,article,mhrou\s,cundh=sai,συνδέομαι,verb,h(me/ras,ἡμέρα,noun,trei=s,τρέω,verb,σίδιον,noun,καταχέω,verb,μηρός,noun,kai\,nhsteue/tw,νηστεύω,verb,oi)=non,οἶνον,noun,de\,δέ,particle,pine/tw,πίνω,verb,gluku/n,γλυκύς,adjective,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,de\,δέ,particle,mhde\,μηδέ,particle,ou(/tw,οὕτως,adverb,diaxwre/h|,mi/lton,μίλτος,noun,mi/cas,μίγνυμι,verb,o(mou=,ὁμοῦ,adverb,me/liti,μέλι,noun,diaxrie/tw,διαχρίω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,διαχωρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)rxo\s,ἀρχός,noun,h)\n,ἐάν,conjunction,e)kpi/pth|,ἐκπίτνω,verb,kai\,καί,conjunction,ai(mor)*roh=|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/rou,ἄρον,noun,*ri/zhs,,,perielw\n,περιαιρέω,verb,to\n,ὁ,article,floio\n,e(yei=n,ἕψω,verb,e)n,ἐν,preposition,u(/dati,ὕδωρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,φλοιός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/peita,ἔπειτα,adverb,tri/bein,τρίβω,verb,a)/lhton,ἄλητον,noun,cummi/sgwn,συμμίγνυμι,verb,kai\,katapla/ssein,καταπλάσσω,verb,qermo/n,θερμός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
th=s,ὁ,article,a)mpe/lou,ἄμπελος,noun,th=s,ὁ,article,a)gri/hs,ἄγριος,adjective,h(\n,e)/nioi,ἔνιοι,adjective,kale/ousi,καλέω,verb,yilw/qrion,,,tau/ths,οὗτος,pronoun,ta\s,ὁ,article,*ri/zas,,,ta\s,a)palwta/tas,,,perice/santa,περιξέω,verb,e(yh=sai,ἕψω,verb,e)n,ἐν,preposition,oi)/nw|,οἶνον,noun,me/lani,μέλας,adjective,a)krh/tw|,ἄκρατος,adjective,au)sthrw=|,,,,,,,,,,ὅς,pronoun,ὁ,article,αὐστηρός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/peita,ἔπειτα,adverb,tri/yanta,τρίβω,verb,katapla/ssein,καταπλάσσω,verb,xlihro/n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cummi/sgein,συμμίγνυμι,verb,de\,δέ,particle,kai\,καί,conjunction,a)/leura,ἄλευρον,adjective,kai\,furh=|n,,,e)n,ἐν,preposition,oi)/nw|,οἶνον,noun,leukw=|,λευκός,adjective,kai\,καί,conjunction,e)lai/w|,ἔλαιον,noun,xlihrw=s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kwnei/ou,κώνειον,noun,karpo\n,καρπός,noun,tri/bonta,τρίβω,verb,parasta/zein,παραστάζω,verb,oi)=non,leuko\n,λευκός,adjective,eu)w/dea,εὐώδης,adverb,e)/peita,ἔπειτα,adverb,katapla/ssein,καταπλάσσω,verb,xlihro/n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οἶνον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,de\,δέ,particle,flegmai/nh|,φλεγμαίνω,verb,kissou=,κισσός,noun,*ri/zan,e(yh/sas,ἕψω,verb,e)n,ἐν,preposition,u(/dati,ὕδωρ,noun,tri/yas,τρίβω,verb,lei=on,λείων,adjective,a)/leuron,ἄλευρον,adjective,cummi/sgwn,w(s,ὡς,conjunction,ka/lliston,καλός,noun,e)n,ἐν,preposition,oi)/nw|leukw=|,,,furh/sas,φυράω,verb,katapla/ssein,καταπλάσσω,verb,kai\,καί,conjunction,a)/leifa,pro\s,πρός,preposition,tou/tois,οὗτος,pronoun,cummi/cas,συμμίγνυμι,verb,,,συμμίγνυμι,verb,ἄλειφαρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mandrago/rou,μανδραγόρας,noun,*ri/zan,,,ma/lista,μάλιστα,adverb,me\n,μέν,particle,xlwrh\n,ei),εἰ,conjunction,de\,δέ,particle,mh\,μή,conjunction,chrh\n,ξηρός,adjective,th\n,ὁ,article,me\n,μέν,particle,ou)=n,xlwrh\n,χλωρός,adjective,a)poplu/nanta,ἀποπλύνω,verb,kai\,καί,conjunction,tamo/nta,τέμνω,verb,e(yh=sai,ἕψω,verb,e)n,ἐν,preposition,oi)/nw|,οἶνον,noun,kekrhme/nw|,kai\,καί,conjunction,katapla/ssein,καταπλάσσω,verb,,,,χλωρός,adjective,οὖν,particle,χράω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
th\n,ὁ,article,de/,δέ,particle,ge,γε,particle,chrh\n,ξηρός,adjective,tri/yanta,katapla/ssein,καταπλάσσω,verb,o(moi/ws,ὅμοιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,τρίβω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
siku/ou,σίκυος,noun,pe/ponos,πέπων,verb,to\,ὁ,article,e)/ndon,ἔνδον,adverb,tri/yas,lei=on,λείων,adjective,katapla/ssein,καταπλάσσω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,τρίβω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,de\,δέ,particle,ge/nhtai,γίγνομαι,verb,o)du/nh,ὀδύνη,noun,kai\,mh\,μή,conjunction,flegmh/nh|,φλεγμαίνω,verb,li/tron,λίτρον,noun,o)pth/sas,ὀπτάω,verb,e)ruqro\n,ἐρυθρός,adjective,kai\,καί,conjunction,tri/yas,lei=on,λείων,adjective,kai\,καί,conjunction,stupthri/hn,στυπτηρία,noun,kai\,καί,conjunction,a(/las,ἅλας,noun,fw/cas,φώσσω,verb,kai\,καί,conjunction,tri/yas,lei/ous,λείων,adjective,summi/cai,συμμίγνυμι,verb,i)/son,ἴσος,adjective,καί,conjunction,τρίβω,verb,τρίβω,verb,e(ka/stou,,,,,,,,,,,,,,,,,,,ἕκαστος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)=ta,εἶτα,adverb,pi/ssh|,πίσσα,noun,cummi/cas,συμμίγνυμι,verb,w(s,ὡς,conjunction,belti/sth,e)s,εἰς,preposition,*ra/kos,,,e)nalei/yas,ἐναλείφω,verb,e)ntiqe/nai,ἐντίθημι,verb,kai\,καί,conjunction,katadei=n,καταδέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,βέλτιστος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kappa/rios,κάππαρις,noun,fu/lla,φύλλον,noun,xlwra\,χλωρός,adjective,tri/yas,τρίβω,verb,e)s,marsi/pion,,,e)mbalw\n,ἐμβάλλω,verb,proskatadei=n,προσκαταδέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εἰς,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,e)ph\n,ἐπήν,conjunction,kai/ein,καίω,verb,doke/h|,δοκέω,verb,a)faire/ein,kai\,καί,conjunction,au)=qis,αὖθις,adverb,prostiqe/nai,προστίθημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀφαιρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,de\,δέ,particle,mh\,μή,conjunction,h)=|,εἰμί,verb,fu/lla,kappa/rios,κάππαρις,noun,to\n,ὁ,article,floio\n,φλοιός,noun,th=s,ὁ,article,*ri/zhs,,,ko/yas,κόπτω,verb,furh/sas,oi)/nw|,οἶνον,noun,me/lani,μέλας,adjective,to\n,ὁ,article,au)to\n,αὐτός,pronoun,tro/pon,τρόπος,noun,katadei=n,καταδέω,verb,,,,,,,,,,,,,,φύλλον,noun,φυράω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=to,οὗτος,pronoun,kai\,καί,conjunction,pro\s,πρός,preposition,splhnw=n,σπλήν,noun,o/du/nhn,a)gaqo/n,ἀγαθός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou/twn,οὗτος,pronoun,tw=n,ὁ,article,kataplasma/twn,κατάπλασμα,noun,du/natai,δύναμαι,verb,ta\,me\n,μέν,particle,yu/xonta,ψύχω,verb,kwlu/ein,κωλύω,verb,*rei=n,,,ta\,ὁ,article,de\,δέ,particle,malqa/ssonta,kai\,καί,conjunction,qermai/nonta,θερμαίνω,verb,diaxei=n,διαχέω,verb,ta\,ὁ,article,de\,δέ,particle,e)s,εἰς,preposition,e(wuta\,ἑαυτοῦ,pronoun,e(/lkonta,chrai/nein,ξηραίνω,verb,kai\,καί,conjunction,i)sxnai/nein,ἰσχναίνω,verb,ὁ,article,μαλθάσσω,verb,ἕλκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=to,οὗτος,pronoun,de\,δέ,particle,to\,ὁ,article,nou/shma,,,gi/netai,o(/tan,ὅταν,conjunction,xolh\,χολή,noun,kai\,καί,conjunction,fle/gma,φλέγμα,noun,e)s,εἰς,preposition,tou\s,ὁ,article,to/pous,katasthri/ch|,καταστηρίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,γίγνομαι,verb,τόπος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)rxou=,ἀρχός,noun,de\,δέ,particle,flegmh/nantos,φλεγμαίνω,verb,diaxri/ein,διαχρίω,verb,tw=|,farma/kw|,φάρμακον,noun,o(/ph,ὅπη,adverb,h(,ὁ,article,*rhti/nh,,,kai\,καί,conjunction,to\,ὁ,article,e)/laion,kai\,καί,conjunction,o(,ὁ,article,khro\s,κήρ,noun,kai\,καί,conjunction,h(,ὁ,article,molu/bdaina,μολύβδαινα,noun,kai\,καί,conjunction,to\,ste/ar,στέαρ,noun,,,,,,,ὁ,article,ἔλαιον,noun,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(s,ὡς,conjunction,qermo/tata,θερμός,adjective,dier)*rh/qhsan,,,katapla/ttesqai,καταπλάσσω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
