word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/21/lemma/@_entry,word/21/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS
ti/s,τίς,pronoun,e)khru/xqh,κηρύσσω,verb,prw/thn,πρότερος,adjective,fulakh/n,φυλακή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*mugdo/nos,Μυγδών,proper,ui(o/n,υἱός,noun,fasi,φημί,verb,*ko/roibon,Κόροιβος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/s,τίς,pronoun,ga\r,γάρ,particle,e)p',ἐπί,preposition,au)tw=|,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*ki/likas,Κίλιξ,proper,*pai/wn,Παίων,proper,strato\s,στρατός,noun,h)/geiren,ἀγείρω,verb,*musoi\,Μυσός,proper,d',δέ,particle,h(ma=s,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)k,οὐ,adverb,ou)=n,οὖν,particle,*luki/ous,Λύκιοι,proper,pe/mpthn,πέμπτος,adjective,fulakh\n,φυλακή,noun,ba/ntas,βαίνω,verb,e)gei/rein,ἐγείρω,verb,kairo\s,καιρός,noun,klh/rou,κλῆρος,adjective,kata\,κατά,preposition,moi=ran,μοῖρα,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,mh\n,μήν,particle,a)i/+w,ἀίω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*simo/entos,Σιμόεις,proper,h(me/na,ἧμαι,verb,koi/tas,κοίτη,noun,foini/as,φοίνιος,adjective,u(mnei=,ὑμνέω,verb,poluxordota/ta|,,,gh/rui+,γῆρυς,noun,paidole/twr,παιδολέτηρ,noun,melopoio\n,μελοποιός,noun,a)hdoni\s,ἀηδονίς,noun,me/rimnan,μέριμνα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)/dh,ἤδη,adverb,de\,δέ,particle,ne/mousi,νέμω,verb,kat',κατά,preposition,*)/idan,Ἴδη,proper,poi/mnia,ποίμνιον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nuktibro/mou,νυκτίβρομος,adjective,su/riggos,σῦριγξ,noun,i)a\n,ἰά,noun,katakou/w,κατακούω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qe/lgei,θέλγω,verb,d',δέ,particle,o)/mmatos,ὄμμα,noun,e(/dran,ἕδρα,noun,u(/pnos,ὕπνος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a(/distos,ἡδύς,adjective,ga\r,γάρ,particle,e)/ba,βαίνω,verb,blefa/rois,βλέφαρον,noun,pro\s,πρός,preposition,a)ou=s,ἠώς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,τίς,pronoun,pot',ποτέ,particle,ou),οὐ,adverb,pla/qei,πλάθω,verb,skopo/s,σκοπός,noun,o(\n,ὅς,pronoun,naw=n,ναός,noun,*(/ektwr,Ἕκτωρ,proper,w)/trune,ὀτρύνω,verb,kato/ptan,κατόπτης,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xro/nios,χρόνιος,adjective,ga\r,γάρ,particle,a)/pestin,ἄπειμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,h)=,ἦ,adverb,krupto\n,κρυπτός,adjective,lo/xon,λόχος,noun,e)spai/sas,εἰσπαίω,verb,dio/lwle,διόλλυμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta/x',τάχα,adjective,a)/n,ἄν,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fobero/n,φοβερός,adjective,moi,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au)dw=,αὐδάομαι,verb,*luki/ous,Λύκιοι,proper,pe/mpthn,πέμπτος,adjective,fulakh\n,φυλακή,noun,ba/ntas,βαίνω,verb,e)gei/rein,ἐγείρω,verb,h(ma=s,ἐγώ,pronoun,klh/rou,κλῆρος,adjective,kata\,κατά,preposition,moi=ran,μοῖρα,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*dio/mhdes,Διομήδης,proper,ou)k,οὐ,adverb,h)/kousas,ἀκούω,verb,h)\,ἠέ,conjunction,keno\s,κενός,adjective,yo/fos,ψόφος,noun,sta/zei,στάζω,verb,di',διά,preposition,w)/twn,ἄατος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teuxe/wn,τεῦχος,noun,tina\,τις,pronoun,ktu/pon,κτύπος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)/k,οὐ,adverb,a)lla\,ἀλλά,adverb,desma\,δεσμός,noun,pwlikw=n,πωλικός,adjective,e)c,ἐκ,preposition,a)ntu/gwn,ἄντυξ,noun,kla/zei,κλάζω,verb,sidh/rou,σίδηρον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ka)me/,ἐγώ,pronoun,toi,τοι,particle,pri\n,πρίν,adverb,h)|sqo/mhn,ἀίσθω,verb,desmw=n,δέσμη,noun,a)ragmo\n,ἀραγμός,noun,i(ppikw=n,ἱππικός,adjective,e)/du,δύω,verb,fo/bos,φόβος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/ra,ὁράω,verb,kat',κατά,preposition,o)/rfnhn,ὄρφνη,noun,mh\,μή,conjunction,fu/lacin,φύλαξ,noun,e)ntu/xh|s,ἐντυγχάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fula/comai/,φυλάσσω,verb,toi,τοι,particle,ka)n,ἐν,preposition,sko/tw|,σκότος,noun,tiqei\s,τίθημι,verb,po/da,πούς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,d',δέ,particle,ou)=n,οὖν,particle,e)gei/rh|s,ἐγείρω,verb,oi)=sqa,οἶδα,verb,su/nqhma,σύνθημα,noun,stratou=,στρατός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*foi=bon,Φοῖβος,proper,*do/lwnos,Δόλων,proper,oi)=da,οἶδα,verb,su/mbolon,σύμβολον,noun,klu/wn,κλύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu)na\s,εὐνή,noun,e)rh/mous,ἐρῆμος,adjective,ta/sde,ὅδε,pronoun,polemi/wn,πολέμιος,adjective,o(rw=,ὁράω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,mh\n,μήν,particle,*do/lwn,Δόλων,proper,ge,γε,particle,ta/sd',ὅδε,pronoun,e)/frazen,φράζω,verb,*(/ektoros,Ἕκτωρ,proper,koi/tas,κοίτη,noun,e)f',ἐπί,preposition,w(=|per,ὅς,pronoun,e)/gxos,ἔγχος,noun,ei(/lkustai,ἕλκω,verb,to/de,ὅδε,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,τίς,pronoun,dh=t',δῆτα,adverb,a)\n,ἄν,particle,ei)/h,ἀίω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mw=n,μῶν,adverb,lo/xos,λόχος,noun,be/bhke/,βαίνω,verb,poi,ποι,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i)/sws,ἴσως,adverb,e)f',ἐπί,preposition,h(mi=n,ἐγώ,pronoun,mhxanh\n,μηχανή,noun,sth/swn,ἵστημι,verb,tina/,τις,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qrasu\s,θρασύς,adjective,ga\r,γάρ,particle,*(/ektwr,Ἕκτωρ,proper,nu=n,νῦν,adverb,e)pei\,ἐπεί,conjunction,kratei=,κρατέω,verb,qrasu/s,θρασύς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,τίς,pronoun,dh=t',δῆτα,adverb,*)odusseu=,Ὀδυσσεύς,proper,drw=men,δράω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga\r,γάρ,particle,hu(/romen,εὑρίσκω,verb,to\n,ὁ,article,a)/ndr',ἀνήρ,noun,e)n,ἐν,preposition,eu)nai=s,εὐνή,noun,e)lpi/dwn,ἐλπίς,noun,d',δέ,particle,h(ma/rtomen,ἁμαρτάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stei/xwmen,στείχω,verb,w(s,ὡς,conjunction,ta/xista,τάχιστος,adjective,nausta/qmwn,ναύσταθμον,noun,pe/las,πέλας,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sw/|zei,σώζω,verb,ga\r,γάρ,particle,au)to\n,αὐτός,pronoun,o(/stis,ὅστις,pronoun,eu)tuxh=,εὐτυχής,adjective,qew=n,θέα,noun,ti/qhsin,τίθημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(mi=n,ἐγώ,pronoun,d',δέ,particle,ou),οὐ,adverb,biaste/on,βιαστέον,adjective,tu/xhn,τύχη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)k,οὐ,adverb,ou)=n,οὖν,particle,e)p',ἐπί,preposition,*ai)ne/an,Αἰνείας,proper,h)\,ἠέ,conjunction,to\n,ὁ,article,e)/xqiston,ἔχθιστος,adjective,*frugw=n,Φρύξ,proper,*pa/rin,Πάρις,proper,molo/nte,βλώσκω,verb,xrh\,χρή,verb,karatomei=n,καρατομέω,verb,ci/fei,ξίφος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pw=s,πῶς,adverb,ou)=n,οὖν,particle,e)n,ἐν,preposition,o)/rfnh|,ὄρφνη,noun,polemi/wn,πολέμιος,adjective,a)na\,ἀνά,preposition,strato\n,στρατός,noun,zhtw=n,ζητέω,verb,dunh/sh|,δύναμαι,verb,tou/sd',ὅδε,pronoun,a)kindu/nws,ἀκίνδυνος,adjective,ktanei=n,κτείνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai)sxro/n,αἰσχρός,adjective,ge,γε,particle,me/ntoi,μέντοι,particle,nau=s,ναῦς,noun,e)p',ἐπί,preposition,*)argei/wn,Ἀργᾶς,proper,molei=n,βλώσκω,verb,dra/sante,δράω,verb,mhde\n,μηδείς,pronoun,polemi/ous,πολέμιος,adjective,new/teron,νέος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pw=s,πῶς,adverb,d',δέ,particle,ou),οὐ,adverb,de/drakas,δράω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ktano/nte,κτείνω,verb,nausta/qmwn,ναύσταθμον,noun,kata/skopon,κατάσκοπος,noun,*do/lwna,Δόλων,proper,sw/|zomen,σώζω,verb,ta/de,ὅδε,pronoun,skuleu/mat',σκύλευμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\,ἠέ,conjunction,pa=n,πᾶς,adjective,strato/pedon,στρατόπεδον,noun,pe/rsein,πέρθω,verb,dokei=s,δοκέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pei/qeis,πείθω,verb,pa/lin,πάλιν,adverb,stei/xwmen,στείχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu)=,εὖ,adverb,d',δέ,particle,ei)/h,ἀίω,verb,tuxei=n,τυγχάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poi=,ποι,adverb,dh\,δή,particle,lipo/ntes,λείπω,verb,*trwikw=n,Τρωικός,adjective,e)k,ἐκ,preposition,ta/cewn,τάξις,noun,xwrei=te,χωρέω,verb,lu/ph|,λύπη,noun,kardi/an,καρδία,noun,dedhgme/noi,δάκνω,verb,ei),εἰ,conjunction,mh\,μή,conjunction,ktanei=n,κτείνω,verb,sfw=|n,σφεῖς,pronoun,*(/ektor',Ἕκτωρ,proper,h)\,ἠέ,conjunction,*pa/rin,Πάρις,proper,qeo\s,θεός,noun,di/dwsin,δίδωμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/ndra,ἀνήρ,noun,d',δέ,particle,ou),οὐ,adverb,pe/pusqe,πυνθάνομαι,verb,su/mmaxon,σύμμαχος,adjective,*troi/a|,Τροία,proper,molo/nta,βλώσκω,verb,*(rh=son,,,ou),οὐ,adverb,fau/lw|,φαῦλος,adjective,tro/pw|,τρόπος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(\s,ὅς,pronoun,ei),εἰ,conjunction,dioi/sei,διαφέρω,verb,nu/kta,νύξ,adjective,th/nd',ὅδε,pronoun,e)s,εἰς,preposition,au)/rion,αὔριον,adverb,ou)/te,οὔτε,adverb,sf',σφεῖς,pronoun,*)axilleu\s,Ἀχιλλεύς,proper,ou)/t',οὔτε,adverb,a)\n,ἄν,particle,*ai)/antos,Αἴας,proper,do/ru,δόρυ,noun,mh\,μή,conjunction,pa/nta,πᾶς,adjective,pe/rsai,πέρθω,verb,nau/staqm',ναύσταθμον,noun,*)argei/wn,Ἀργᾶς,proper,sxe/qoi,σχέθω,verb,tei/xh,τεῖχος,noun,kataska/yanta,kai\,καί,conjunction,κατασκάπτω,verb,pulw=n,πύλη,adjective,e)/sw,ἔσω,adjective,lo/gxh|,λόγχη,noun,platei=an,πλατύς,adjective,e)sdromh\n,εἰσδρομή,noun,poiou/menon,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=ton,οὗτος,pronoun,katakta\s,κατακτείνω,verb,pa/nt',πᾶς,adjective,e)/xeis,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
