word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/25/lemma/@_entry,word/25/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS
*dhmosqe/nhs,Δημοσθένης,proper,de\,δέ,particle,e)n,ἐν,preposition,tw=|,ὁ,article,kata\,κατά,preposition,*ko/nwnos,Κόνων,proper,e)pi\,ἐπί,preposition,e)pwnu/mou,ἐπώνυμος,adjective,teqeime/nou,τίθημι,verb,tisi\,τις,pronoun,kata\,κατά,preposition,paidia\n,παιδιή,noun,e)/tacen,ἐτάζω,verb,au)to/,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)le/geto,λέγω,verb,de\,δέ,particle,kuri/ws,κυρίως,adverb,i)qu/fallos,ἰθύφαλλος,noun,to\,ὁ,article,e)ntetame/non,ἐντείνω,verb,ai)doi=on,αἰδοῖος,adjective,w(s,ὡς,conjunction,*krati=nos,Κρατῖνος,proper,e)n,ἐν,preposition,*)arxilo/xois,Ἀρχίλοχος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)isai=os,,,e)n,ἐν,preposition,tw=|,ὁ,article,kat',κατά,preposition,*)elpago/rou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dh=mo/s,δῆμος,noun,e)sti,εἰμί,verb,fulh=s,φυλή,noun,th=s,ὁ,article,*ai)ghi/+dos,,,w(/s,ὡς,conjunction,fhsi,φημί,verb,*dio/dwros,Διόδωρος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*ai)sxi/nhs,Αἰσχίνης,proper,e)n,ἐν,preposition,th=|,ὁ,article,a)pologi/a|,ἀπολογία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i(kethri/a,ἱκετήριος,adjective,kalei=tai,καλέω,verb,e)lai/as,ἐλαία,noun,kla/dos,κλάδος,adjective,ste/mmati,στέμμα,noun,e)stemme/nos,στέφω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*lusi/as,Λυσίας,proper,e)n,ἐν,preposition,*)olumpiakw=|,Ὀλυμπιακός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\n,ὁ,article,*)adri/an,Ἀδρίας,proper,kalou/menon,καλέω,verb,ou(/tws,οὕτως,adverb,w)no/mazon,ὀνομάζω,verb,e)ni/ote,ἐνίοτε,adverb,oi(,ὁ,article,palaioi/,παλαιός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)epi/damno/s,Ἐπίδαμνος,proper,e)sti,εἰμί,verb,po/lis,πόλις,adjective,e)n,ἐν,preposition,decia=|,δεξιός,adjective,e)sple/onti,εἰσπλέω,verb,to\n,ὁ,article,*)io/nion,Ἰόνιος,proper,ko/lpon,κόλπος,noun,*qoukudi/dhs,Θουκυδίδης,proper,*lukou=rgos,Λυκοῦργος,proper,e)n,ἐν,preposition,tw=|,ὁ,article,kata\,κατά,preposition,*luko/fronos,Λυκόφρων,proper,me/ros,μέρος,noun,ti,τις,pronoun,th=s,ὁ,article,oi)ki/as,οἰκία,noun,ou(/tw,οὕτως,adverb,kalei=tai,καλέω,verb,to\,ὁ,article,lego/menon,λέγω,verb,par),πηρός,adjective,h(mi=n,ἐγώ,pronoun,mageirei=on,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μαγειρεῖον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/sti,εἰμί,verb,gou=n,γοῦν,particle,dra=ma,δρᾶμα,noun,*ferekra/tous,Φερεκράτης,proper,*)ipno\s,ἰπνός,noun,h)\,ἠέ,conjunction,*pannuxi/s,παννύχιος,adjective,e)n,ἐν,preposition,w(=|,ὅς,pronoun,dhlou=tai,δηλόω,verb,tou=to,οὗτος,pronoun,o(/ti,ὅστις,pronoun,me/ros,μέρος,noun,e)sti\,εἰμί,verb,th=s,ὁ,article,oi)ki/as,οἰκία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
le/getai,λέγω,verb,de\,δέ,particle,kuri/ws,κυρίως,adverb,i)pno\s,ἰπνός,noun,h(,ὁ,article,ka/minos,κάμινος,noun,o(/qen,ὅθεν,adverb,kai\,καί,conjunction,i)pnopla/qous,ἰπνοπλάθος,adjective,tina\s,τις,pronoun,o)noma/zousin,ὀνομάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*dhmosqe/nhs,Δημοσθένης,proper,e)n,ἐν,preposition,tw=|,ὁ,article,u(pe\r,ὑπέρ,preposition,*kthsifw=ntos,Κτησιφῶν,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tu/rannos,τύραννος,noun,h)=n,εἰμί,verb,ou(=tos,οὗτος,pronoun,*)eretri/as,Ἐρέτρια,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e(/teros,ἕτερος,adjective,d',δέ,particle,e)sti\n,εἰμί,verb,*(/ipparxos,Ἵππαρχος,proper,peri\,περί,preposition,ou(=,ἕ,pronoun,*lukou=rgos,Λυκοῦργος,proper,e)n,ἐν,preposition,tw=|,ὁ,article,kata\,κατά,preposition,*luko/frono/s,Λυκόφρων,proper,fhsin,φημί,verb,*(/ipparxos,Ἵππαρχος,proper,o(,ὁ,article,*peisistra/tou,Πεισίστρατος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/llos,ἄλλος,adjective,de/,δέ,particle,e)stin,εἰμί,verb,*(/ipparxos,Ἵππαρχος,proper,o(,ὁ,article,*xa/rmou,Χάρμος,proper,w(/s,ὡς,conjunction,fhsi,φημί,verb,*lukou=rgos,Λυκοῦργος,proper,e)n,ἐν,preposition,tw=|,ὁ,article,kata\,κατά,preposition,*lewkra/tous,Λεωκράτης,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peri\,περί,preposition,de\,δέ,particle,tou/tou,οὗτος,pronoun,*)androti/wn,Ἀνδροτίων,proper,e)n,ἐν,preposition,th=|,ὁ,article,fhsi\n,φημί,verb,o(/ti,ὅστις,pronoun,suggenh\s,συγγενής,adverb,me\n,μέν,particle,h)=n,εἰμί,verb,*peisistra/tou,Πεισίστρατος,proper,tou=,ὁ,article,tura/nnou,τύραννος,noun,kai\,καί,conjunction,prw=tos,πρότερος,adjective,e)cwstraki/sqh,ἐξοστρακίζω,verb,tou=,ὁ,article,peri\,περί,preposition,to\n,ὁ,article,o)strakismo\n,ὀστρακισμός,noun,no/mou,νόμος,noun,to/te,τότε,adverb,prw=ton,πρότερος,adjective,teqe/ntos,τίθημι,verb,dia\,th\n,ὁ,article,u(poyi/an,ὑποψία,noun,tw=n,ὁ,article,peri\,περί,preposition,*peisi/straton,Πεισίστρατος,proper,o(/ti,ὅστις,pronoun,dhmagwgo\s,δημαγωγός,noun,w)\n,εἰμί,verb,kai\,καί,conjunction,strathgo\s,στρατηγός,noun,διά,preposition,e)tura/nnhsen,τυραννεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/llos,ἄλλος,adjective,d',δέ,particle,e)sti\n,εἰμί,verb,*(/ipparxos,Ἵππαρχος,proper,u(pokrith\s,ὑποκριτής,noun,ou(=,ἕ,pronoun,mnhmoneu/ei,μνημονεύω,verb,*dhmosqe/nhs,Δημοσθένης,proper,e)n,ἐν,preposition,tw=|,ὁ,article,kata\,κατά,preposition,*neai/ras,Νέαιρα,proper,ei),εἰ,conjunction,gnh/sios,γνήσιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
le/getai,λέγω,verb,de\,δέ,particle,par),πηρός,adjective,*)aqhnai/ois,Ἀθήναια,proper,i(/pparxos,ἵππαρχος,noun,kai\,καί,conjunction,o(,ὁ,article,tw=n,ὁ,article,i(ppe/wn,ἱππεύς,noun,a)/rxwn,ἄρχων,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
du/o,δύο,adjective,d',δέ,particle,h)=san,εἰμί,verb,ou(=toi,οὗτος,pronoun,w(s,ὡς,conjunction,*dhmosqe/nhs,Δημοσθένης,proper,e)n,ἐν,preposition,*filippikw=n,φιλιππικός,adjective,fhsi\,φημί,verb,kai\,καί,conjunction,*)aristote/lhs,Ἀριστοτέλης,proper,e)n,ἐν,preposition,*)aqhnai/wn,Ἀθήναια,proper,politei/a|,πολιτεία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)isai=os,,,e)n,ἐν,preposition,tw=|,ὁ,article,peri\,περί,preposition,tou=,ὁ,article,*)apollodw/rou,Ἀπολλόδωρος,proper,klh/rou,κλῆρος,adjective,a)pegra/yato,ἀπογράφω,verb,me\n,μέν,particle,ti/mhma,τίμημα,noun,mikro\n,μικρός,adjective,w(s,ὡς,conjunction,i(ppa/da,ἱππάς,noun,telw=n,τέλος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)aristote/lhs,Ἀριστοτέλης,proper,d',δέ,particle,e)n,ἐν,preposition,*)aqhnai/wn,Ἀθήναια,proper,politei/a|,πολιτεία,noun,fhsi\n,φημί,verb,o(/ti,ὅστις,pronoun,*so/lwn,Σόλων,proper,ei)s,εἰς,preposition,te/ttara,τέσσαρες,noun,diei=le,διαιρέω,verb,te/lh,τέλος,noun,to\,ὁ,article,pa=n,πᾶς,adjective,plh=qos,πλῆθος,noun,*)aqhnai/wn,Ἀθήναια,proper,pentakosiomedi/mnous,πεντακοσιομέδιμνος,noun,kai\,καί,conjunction,i(ppe/as,ἱππεύς,noun,kai\,καί,conjunction,zeug'tas,,,kai\,καί,conjunction,qh=tas,θῆσσα,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tw=n,ὁ,article,ou)=n,οὖν,particle,i(ppe/wn,ἱππεύς,noun,ai(,ὁ,article,i(ppa/des,ἱππάς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)isai=os,,,e)n,ἐν,preposition,tw=|,ὁ,article,pro\s,πρός,preposition,*kaludw=na,Καλυδών,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*mnase/as,Μνασέης,proper,e)n,ἐν,preposition,*eu)rw/phs,Εὐρώπη,proper,th\n,ὁ,article,i(ppi/an,ἱππίας,noun,*)aqhna=n,Ἀθήνη,proper,*poseidw=nos,Ποσειδῶν,proper,ei)=nai/,εἰμί,verb,fhsi,φημί,verb,qugate/ra,θυγάτηρ,adjective,kai\,καί,conjunction,*koru/fhs,κορύπτω,verb,th=s,ὁ,article,*)wkeanou=,Ὠκεανός,proper,a(/rma,ἅρμα,noun,de\,δέ,particle,prw/thn,πρότερος,adjective,kataskeua/sasan,κατασκευάζω,verb,dia\,διά,preposition,tou=to,οὗτος,pronoun,i(ppi/an,ἱππίας,noun,keklh=sqai,καλέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*dhmosqe/nhs,Δημοσθένης,proper,e)n,ἐν,preposition,tw=|,ὁ,article,pro\s,πρός,preposition,*timo/qeon,Τιμόθεος,proper,a)gora/n,ἀγορά,noun,fhsin,φημί,verb,ei)=nai,εἰμί,verb,e)n,ἐν,preposition,*peiraiei=,Πειραιεύς,proper,kaloume/nhn,καλέω,verb,*(ippoda/meian,Ἱπποδάμεια,proper,a)po\,ἀπό,preposition,*(ippoda/mou,Ἱππόδαμος,proper,*milhsi/ou,Μιλήσιος,proper,a)rxite/ktonos,ἀρχιτέκτων,noun,tou=,ὁ,article,oi)kodomhsame/nou,οἰκοδομέω,verb,toi=s,ὁ,article,*)aqhnai/ois,Ἀθήναια,proper,to\n,ὁ,article,*peiraia=,Πειραιεύς,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)/i*s*a,ἴσος,adjective,*b*a*i*n*w*n,,,*p*u*q*o*k*l*e*i,,,*dhmosqe/nhs,Δημοσθένης,proper,e)n,ἐν,preposition,tw=|,ὁ,article,kat',κατά,preposition,*ai)sxi/nou,Αἰσχίνης,proper,a)nti\,ἀντί,preposition,tou=,ὁ,article,sunw\n,σύνειμι,verb,a)ei\,ἀεί,adverb,kai\,καί,conjunction,mhde\,μηδέ,particle,braxu\,βραχύς,adjective,a)fista/menos,ἀφίστημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,e)n,ἐν,preposition,tw=|,ὁ,article,kata\,κατά,preposition,*stefa/nou,Στέφανος,proper,fhsi\n,φημί,verb,*)aristolo/xw|,Ἀριστόλοχος,proper,tw=|,ὁ,article,trapezi/th|,τραπεζίτης,noun,i)/sa,ἴσος,adjective,bai/nwn,βαίνω,verb,e)ba/dize,βαδίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*me/nandros,Μένανδρος,proper,par),πηρός,adjective,au)to\n,αὐτός,pronoun,i)/sa,ἴσος,adjective,bai/nous',βαίνω,verb,e(tai/ra,ἑταίρα,noun,polutelh/s,πολυτελής,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*ai)sxi/nhs,Αἰσχίνης,proper,kata\,κατά,preposition,*kthsifw=ntos,Κτησιφῶν,proper,e(/teros,ἕτερος,adjective,de\,δέ,particle,pleu/sas,πλέω,verb,i)diw/ths,ἰδιώτης,noun,ei)s,εἰς,preposition,*(ro/don,,,o(/ti,ὅστις,pronoun,to\n,ὁ,article,fo/bon,φόβος,noun,a)na/ndrws,ἀνάνω,verb,h)/negke,φέρω,verb,prw/hn,πρώην,adverb,me/n,μέν,particle,pote,ποτέ,particle,ei)shgge/lqh,εἰσαγγέλλω,verb,kai\,καί,conjunction,i)/sai,ἴσος,adjective,ai(,ὁ,article,yh=foi,ψῆφος,noun,au)tw=|,αὐτός,pronoun,e)ge/nonto,γίγνομαι,verb,ei),εἰ,conjunction,de\,mi/a,εἷς,adjective,yh=fos,ψῆφος,noun,u(pere/pesen,ὑπερπίπτω,verb,u(perw/risto,ὑπερορίζω,verb,a)\n,ἄν,particle,kai\,καί,conjunction,a)pe/qanen,ἀποθνήσκω,verb,,,,,,,,,,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
