word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/52/@_form,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS
mh/,μή,conjunction,moi,ἐγώ,pronoun,mh/t',μήτε,particle,*)asih/tidos,Ἀσιανός,proper,turanni/dos,τυραννίς,noun,o)/lbos,ὄλβος,noun,ei)/h,ἀίω,verb,mh\,μή,conjunction,xrusou=,χρυσός,noun,dw/mata,δῶμα,noun,plh/rh,πλήρης,adverb,ta=s,ὁ,article,h(/bas,ἥβη,noun,a)ntilabei=n,ἀντινέω,verb,a(\,ὅς,pronoun,kalli/sta,καλός,noun,me\n,μέν,particle,e)n,ἐν,preposition,o)/lbw|,ὄλβος,noun,kalli/sta,καλός,noun,d',δέ,particle,e)n,ἐν,preposition,peni/a|,πενία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,de\,δέ,particle,lugro\n,λυγρός,adjective,fo/nio/n,φόνιος,adverb,te,τε,particle,gh=,γῆ,noun,ras,,,misw=,μισέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kata\,κατά,preposition,kuma/twn,κῦμα,noun,d',δέ,particle,e)/rroi,ἔρρω,verb,mhde/,μηδέ,particle,pot',ποτέ,particle,w)/felen,ὀφείλω,verb,qnatw=n,θνητός,adjective,dw/mata,δῶμα,noun,kai\,καί,conjunction,po/leis,πόλις,adjective,e)lqei=n,ἔρχομαι,verb,a)lla\,ἀλλά,adverb,kat',κατά,preposition,ai)qe/r',αἰθήρ,noun,ai),εἰ,conjunction,ei\,,,pteroi=si,πτερόν,noun,forei/sqw,φορέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,de\,δέ,particle,qeoi=s,θεός,noun,h)=n,εἰμί,verb,cu/nesis,σύνεσις,noun,kai\,καί,conjunction,sofi/a,σοφία,noun,kat',κατά,preposition,a)/ndras,ἀνήρ,noun,di/dumon,δίδυμος,adjective,a)\n,ἄν,particle,h(/ban,ἥβη,noun,e)/feron,φέρω,verb,fanero\n,φανερός,adjective,xarakth=r',χαρακτήρ,noun,a)reta=s,ἀρετή,noun,o(/soisin,ὅσος,adjective,me/ta,μετά,preposition,katqano/ntes,,,t',τε,particle,ei)s,εἰς,preposition,au)ga\s,αὐγή,noun,pa/lin,πάλιν,adverb,a(li/ou,ἥλιος,noun,dissou\s,δισσός,adjective,a)\n,ἄν,particle,e)/ban,βαίνω,verb,diau/lous,δίαυλος,noun,a(,ὁ,article,dusge/neia,δυσγένεια,noun,d',δέ,particle,a(plou=n,ἁπλόος,adjective,a)\n,ἄν,particle,ei)=xen,ἔχω,verb,zo/as,ζόη,noun,bi/oton,βίοτος,noun,kai\,καί,conjunction,tw=|d',ὅδε,pronoun,h)=n,εἰμί,verb,tou/s,ὁ,article,te,τε,particle,kakou\s,κακός,adjective,a)\n,ἄν,particle,gnw=nai,γιγνώσκω,verb,kai\,καί,conjunction,tou\s,ὁ,article,a)gaqou/s,ἀγαθός,adjective,i)/son,ἴσος,adjective,a(/t',ἅτε,adverb,e)n,ἐν,preposition,nefe/laisin,νεφέλη,noun,a)/,strwn,nau/tais,ναύτης,noun,a)riqmo\s,ἀριθμός,adjective,pe/lei,πέλω,verb
nu=n,νῦν,adverb,d',δέ,particle,ou)dei\s,οὐδείς,pronoun,o(/ros,ὅρος,adjective,e)k,ἐκ,preposition,qew=n,θέα,noun,xrhstoi=s,χρηστός,adjective,ou)de\,οὐδέ,particle,kakoi=s,κακός,adjective,safh/s,σαφής,adverb,a)ll',ἀλλά,adverb,ei(lisso/meno/s,ἑλίσσω,verb,tis,τις,pronoun,ai),εἰ,conjunction,w\n,,,plou=ton,πλοῦτος,noun,mo/non,μόνος,adjective,au)/cei,αὐξάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,pau/somai,παύω,verb,ta\s,ὁ,article,*xa/ritas,Χάρις,proper,*mou/sais,Μοῦσα,proper,sugkatameignu/s,συγκαταμίγνυμι,verb,a(di/stan,ἡδύς,adjective,suzugi/an,συζυγία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mh\,μή,conjunction,zw/|hn,ζωή,noun,met',μετά,preposition,a)mousi/as,ἀμουσία,noun,ai)ei\,ἀεί,adverb,d',δέ,particle,e)n,ἐν,preposition,stefa/noisin,στέφανος,noun,ei)/,εἰ,conjunction,hn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/ti,ἔτι,adverb,toi,τοι,particle,ge/rwn,γέρων,noun,a)oi,,,do\s,δίδωμι,verb,keladei=,κελαδέω,verb,*mnamosu/nan,μνημοσύνη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/ti,ἔτι,adverb,ta\n,ὁ,article,*(hrakle/ous,Ἡρακλέης,proper,kalli/nikon,καλλίνικος,adjective,a)ei/dw,ἀείδω,verb,para/,παρά,preposition,te,τε,particle,*bro/mion,Βρόμιος,proper,oi)nodo/tan,οἰνοδότης,noun,para/,παρά,preposition,te,τε,particle,xe/luos,χέλυς,noun,e(ptato/nou,ἑπτάτονος,adjective,molpa\n,μολπή,noun,kai\,καί,conjunction,*li/bun,Λίβυς,proper,au)lo/n,αὐλός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)/pw,οὔπω,adverb,katapau/somen,καταπαύω,verb,*mou/sas,Μοῦσα,proper,ai(/,ὅς,pronoun,m',ἐγώ,pronoun,e)xo/reusan,χορεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paia=na,Παιάν,proper,me\n,μέν,particle,*dhlia/des,Δηλιάς,proper,u(mnou=s',ὑμνέω,verb,a)mfi\,ἀμφί,preposition,pu/las,πύλη,adjective,to\n,ὁ,article,*latou=s,Λητώ,proper,eu)/paida,εὔπαις,noun,go/non,γόνος,noun,ei(li/ssousai,ἑλίσσω,verb,kalli/xoron,καλλίχορος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paia=nas,Παιάν,proper,d',δέ,particle,e)pi\,ἐπί,preposition,soi=s,σός,adjective,mela/,,,qrois,,,ku/knos,κύκνος,noun,w(\s,ὅς,pronoun,ge/rwn,γέρων,noun,a)oi,,,do\s,δίδωμι,verb,polia=n,πολιά,noun,e)k,ἐκ,preposition,genu/wn,γένυς,noun,keladh/sw,κελαδέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,ga\r,γάρ,particle,eu)=,εὖ,adverb,toi=s,ὁ,article,u(/mnoisin,ὕμνος,noun,u(pa/rxei,ὑπάρχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*dio\s,Ζεύς,proper,o(,ὁ,article,pai=s,πᾶς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta=s,ὁ,article,d',δέ,particle,eu)geni/as,εὐγένεια,noun,ple/on,πλέος,adjective,u(perba/llwn,ὑπερβάλλω,verb,a)reta=|,ἀρετάω,verb,moxqh/sas,μοχθέω,verb,to\n,ὁ,article,a)/kumon,ἄκυμος,adjective,qh=ken,τίθημι,verb,bi/oton,βίοτος,noun,brotoi=s,βροτός,noun,pe/rsas,πέρθω,verb,dei/mata,δεῖμα,noun,qhrw=n,θήρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)s,εἰς,preposition,kairo\n,καιρός,noun,oi)/kwn,οἶκος,noun,*)amfitru/wn,Ἀμφιτρύων,proper,e)/cw,ἔξω,adverb,pera=|,περάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xro/nos,χρόνος,noun,ga\r,γάρ,particle,h)/dh,ἤδη,adverb,daro\s,δηρός,adjective,e)c,ἐκ,preposition,o(/tou,ὅστις,pronoun,pe/plois,πέπλος,noun,kosmei=sqe,κοσμέω,verb,sw=ma,σῶμα,adjective,kai\,καί,conjunction,nekrw=n,νεκρός,noun,a)ga/lmasin,ἄγαλμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,ei)=a,εἶα,interjection,pai=das,παῖς,adjective,kai\,καί,conjunction,da/marq',δάμαρ,noun,*(hrakle/ous,Ἡρακλέης,proper,e)/cw,ἔξω,adverb,ke/leue,κελεύω,verb,tw=nde,ὅδε,pronoun,fai/nesqai,φαίνω,verb,do/mwn,δόμος,noun,e)f',ἐπί,preposition,oi(=s,ὅς,pronoun,u(pe/stht',ὑφίστημι,verb,au)tepa/ggeltoi,αὐτεπάγγελτος,adjective,qanei=n,θνήσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/nac,ἄναξ,noun,diw/keis,διώκω,verb,m',ἐγώ,pronoun,a)qli/ws,ἄθλιος,adjective,peprago/ta,πράσσω,verb,u(/brin,ὕβρις,noun,q',τε,particle,u(bri/zeis,ὑβρίζω,verb,e)pi\,ἐπί,preposition,qanou=si,θνήσκω,verb,toi=s,ὁ,article,e)moi=s,ἐμός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a(\,ὅς,pronoun,xrh=n,χράω,verb,se,σύ,pronoun,metri/ws,μέτριος,adjective,kei),εἰ,conjunction,kratei=s,κρατέω,verb,spoudh\n,σπουδή,noun,e)/xein,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pei\,ἐπεί,conjunction,d',δέ,particle,a)na/gkhn,ἀνάγκη,noun,prosti/qhs,προστίθημι,verb,h(mi=n,ἐγώ,pronoun,qanei=n,θνήσκω,verb,ste/rgein,στέργω,verb,a)na/gkh,ἀνάγκη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
draste/on,δραστέος,adjective,d',δέ,particle,a(\,ὅς,pronoun,soi\,σύ,pronoun,dokei=,δοκέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pou=,πού,adverb,dh=ta,δῆτα,adverb,*mega/ra,Μεγάρη,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pou=,πού,adverb,te/kn',τέκνον,noun,*)alkmh/nhs,Ἀλκμήνη,proper,go/nou,γόνος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dokw=,δοκάζω,verb,me\n,μέν,particle,au)th/n,αὐτός,pronoun,w(s,ὡς,conjunction,qu/raqen,θύραθεν,adverb,ei)ka/sai,εἰκάζω,verb,ti/,τίς,pronoun,xrh=ma,χρῆμα,adjective,do/chs,δόξα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=,ὁ,article,d',δέ,particle,e)/xeis,ἔχω,verb,tekmh/rion,τεκμήριον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i(ke/tin,ἱκέτις,noun,pro\s,πρός,preposition,a(gnoi=s,ἁγνός,adjective,*(esti/as,Ἑστία,proper,qa/ssein,θάσσω,verb,ba/qrois,βάθρον,noun,a)no/nhta/,ἀνόνητος,adjective,g',γε,particle,i(keteu/ousan,ἱκετεύω,verb,e)ksw=|sai,,,bi/on,βίος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,to\n,ὁ,article,qano/nta,θνήσκω,verb,g',γε,particle,a)nakalei=n,ἀνακαλέω,verb,ma/thn,μάτην,adverb,po/sin,πόσις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(\,ὅς,pronoun,d',δέ,particle,ou),οὐ,adverb,pa/restin,πάρειμι,verb,ou)de\,οὐδέ,particle,mh\,μή,conjunction,mo/lh|,βλώσκω,verb,pote/,ποτέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)/k,οὐ,adverb,ei)/,εἰ,conjunction,ge,γε,particle,mh/,μή,conjunction,tis,τις,pronoun,qew=n,θέα,noun,a)nasth/seie/,ἀνίστημι,verb,nin,νιν,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xw/rei,χωρέω,verb,pro\s,πρός,preposition,au)th\n,αὐτός,pronoun,ka)kko/mize,ἐκκομίζω,verb,dwma/twn,δῶμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
me/toxos,μέτοχος,adjective,a)\n,ἄν,particle,ei)/hn,εἰμί,verb,tou=,ὁ,article,fo/nou,φόνος,noun,dra/sas,δράω,verb,to/de,ὅδε,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(mei=s,ἐγώ,pronoun,e)peidh\,ἐπεί,conjunction,soi\,σύ,pronoun,to/d',ὅδε,pronoun,e)/st',εἰμί,verb,e)nqu/mion,ἐνθύμιος,adjective,oi(,ὁ,article,deima/twn,δεῖμα,noun,e)/cwqen,ἔξωθεν,adverb,e)kporeu/somen,ἐκπορεύω,verb,su\n,σύν,preposition,mhtri\,μήτηρ,noun,pai=das,παῖς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deu=r',δεῦρο,adverb,e(/pesqe,ἕπομαι,verb,pro/spoloi,πρόσπολος,noun,w(s,ὡς,conjunction,a)\n,ἄν,particle,sxolh\n,σχολή,noun,lu/swmen,λύω,verb,a)/smenoi,ἄσμενος,adjective,po/nwn,πόνος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
su\,σύ,pronoun,d',δέ,particle,ou)=n,οὖν,particle,i)/q',εἶμι,verb,e)/rxh|,ἔρχομαι,verb,d',δέ,particle,oi(=,ἕ,pronoun,xrew/n,χρεών,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\,ὁ,article,d',δέ,particle,a)/ll',ἄλλος,adjective,i)/sws,ἴσως,adverb,a)/llw|,ἄλλος,adjective,melh/sei,ἐπιμελέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prosdo/ka,προσδοκάω,verb,de\,δέ,particle,drw=n,δράω,verb,kakw=s,κακός,adjective,kako/n,κακός,adjective,ti,τις,pronoun,pra/cein,πράσσω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,ge/rontes,γέρων,noun,e)s,εἰς,preposition,kalo\n,καλός,noun,stei/xei,στείχω,verb,bro/xoisi,βρόχος,noun,d',δέ,particle,a)rku/wn,ἄρκυον,noun,genh/setai,γίγνομαι,verb,cifhfo/roisi,ξιφηφόρος,adjective,tou\s,ὁ,article,pe/las,πέλας,adverb,dokw=n,δοκάζω,verb,ktenei=n,κτείνω,verb,o(,ὁ,article,pagka/kistos,πάγκακος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)=mi,εἶμι,verb,d',δέ,particle,w(s,ὡς,conjunction,i)/dw,εἶδον,verb,nekro\n,νεκρός,noun,pi/ptont',πίπτω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/xei,ἔχω,verb,ga\r,γάρ,particle,h(dona\s,ἡδονά,noun,qnh/|skwn,θνήσκω,verb,a)nh\r,ἀνήρ,noun,e)xqro\s,ἐχθρός,adjective,ti/nwn,τίς,pronoun,te,τε,particle,tw=n,ὁ,article,dedrame/nwn,δράω,verb,di/khn,δίκη,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metabola\,μεταβολή,noun,kakw=n,κακός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
me/gas,μέγας,adverb,o(,ὁ,article,pro/sq',πρόσθεν,adverb,a)/nac,ἄναξ,noun,pa/lin,πάλιν,adverb,u(postre/fei,ὑποστρέφω,verb,bi/oton,βίοτος,noun,e)c,ἐκ,preposition,*(/aida,Ἅιδης,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
